id,category,subtype,buy_or_rent,geography,latitude,longitude,sq_meters,floor_number,rooms,bathrooms,ad_type,agent_id,first_seen,last_seen,is_active
18259138,house,3,sale,Center (Vouliagmeni),37.822983,23.785837,220,6,4,3,vip,4594,2026-01-27 06:30:23,2026-01-27 06:30:23,1
18259256,house,1,sale,Pigadakia (Voula),37.830158,23.774937,132,9,3,2,vip,4594,2026-01-27 06:30:23,2026-01-27 06:30:23,1
18260657,house,1,sale,Κάτω Γλυφάδα (Γλυφάδα),37.859764,23.761089,170,9,5,2,vip,270,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18261047,house,1,sale,Σούρμενα (Ελληνικό),37.89497,23.748827,135,11,3,2,vip,5349,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18267589,house,1,sale,Kato Aigaleo - Estavromenou (Aigaleo),37.989353,23.678148,59,6,2,1,vip,12542,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18267590,house,1,sale,Kato Aigaleo - Estavromenou (Aigaleo),37.989353,23.678148,55,6,2,1,vip,12542,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18267597,house,1,sale,Alsoupoli (Nea Ionia),38.037071,23.778961,103,7,2,2,vip,5011,2026-01-27 01:18:02,2026-01-27 01:18:02,1
18267638,house,1,sale,Καστέλλα (Καστέλλα - Πασαλιμάνι),37.943356,23.654392,70,10,2,1,vip,16110,2026-01-28 01:26:21,2026-01-28 01:26:21,1
18267904,house,1,sale,Κολωνάκι (Κολωνάκι - Λυκαβηττός),37.97934,23.749666,135,9,2,2,vip,16092,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18269640,house,1,sale,Μητρόπολη (Νίκαια),37.968849,23.63979,82,9,2,1,vip,695,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18270728,house,4,sale,Αίγλη (Γλυφάδα),37.878273,23.771193,210,3,4,3,vip,2264,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18276691,house,1,sale,Κέντρο (Νέα Σμύρνη),37.941456,23.716396,70,10,2,1,vip,21205,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18277636,house,10,sale,Βούλα (Αθήνα - Νότια Προάστια),37.844311,23.782694,1118,3,5,6,vip,270,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18278157,house,3,sale,Στροφύλι (Κηφισιά),38.080265,23.809681,275,3,4,3,vip,3155,2026-01-28 01:26:21,2026-01-28 01:26:21,1
18280357,house,1,sale,Agios Artemios (Athens - Center),37.958981,23.7379,130,9,3,1,vip,21311,2026-01-27 06:30:25,2026-01-27 06:30:25,1
18281004,house,4,sale,Λαγονήσι (Καλύβια Θορικού),37.792496,23.902796,276,3,4,3,vip,13787,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18281120,house,3,sale,Νέα Κηφισιά (Κηφισιά),38.096184,23.807671,230,3,4,3,vip,5275,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18281913,house,4,sale,Νέα Κηφισιά (Κηφισιά),38.095222,23.805141,485,3,4,4,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18282110,house,3,sale,Κυθηρίων - Πανί (Άλιμος),37.910259,23.726629,120,3,4,3,vip,2264,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18282496,house,1,sale,Varnava (Athens - Center),37.966,23.744385,52,6,1,1,vip,3786,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18282787,house,1,sale,Κέντρο (Μαρούσι),38.063713,23.804873,86,3,2,1,vip,3155,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18282794,house,1,sale,Νέα Φιλοθέη (Μαρούσι),38.029781,23.784157,106,7,3,1,vip,3155,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18282796,house,1,sale,Νέα Φιλοθέη (Μαρούσι),38.029713,23.784134,149,10,3,2,vip,3155,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18282892,house,4,sale,Κέντρο (Βριλήσσια),38.037224,23.835407,480,3,5,3,vip,3155,2026-01-28 01:26:21,2026-01-28 01:26:21,1
18282898,house,1,sale,Amalia Flemingk (Melissia),38.05328,23.837757,150,8,3,1,vip,3155,2026-01-27 06:30:23,2026-01-27 06:30:23,1
18282916,house,4,sale,Κάτω Κηφισιά (Κηφισιά),38.0868,23.80551,270,4,4,4,vip,18589,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18283296,house,1,sale,Κάτω Χαλάνδρι (Χαλάνδρι),38.016335,23.798714,110,3,2,1,vip,24733,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18283741,house,4,sale,Plateia Gkizi (Athens - Center),37.994034,23.746004,220,3,6,3,vip,20351,2026-01-27 06:30:23,2026-01-27 06:30:23,1
18285490,house,1,sale,Σούρμενα (Ελληνικό),37.895859,23.751001,76,6,2,1,vip,16175,2026-01-28 01:26:21,2026-01-28 01:26:21,1
18286243,house,1,sale,Νέος Κόσμος (Αθήνα - Κέντρο),37.96138,23.730618,45,3,1,1,vip,5496,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18287736,house,1,sale,Κέντρο Δροσιάς (Δροσιά),38.110519,23.862799,84,3,2,1,vip,6532,2026-01-28 01:26:18,2026-01-28 01:26:18,1
18287737,house,3,sale,Κέντρο Δροσιάς (Δροσιά),38.110855,23.862722,127,3,3,1,vip,6532,2026-01-28 01:26:18,2026-01-28 01:26:18,1
18288341,house,1,sale,Χίλτον (Αθήνα - Κέντρο),37.977558,23.753679,108,8,2,2,vip,18870,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18289754,house,1,sale,Panormou (Athens - Center),37.992432,23.76129,103,9,3,1,vip,3155,2026-01-27 06:30:25,2026-01-27 06:30:25,1
18293625,house,1,sale,Panagitsa (Palaio Faliro),37.922401,23.70406,78,11,2,1,vip,9393,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18293734,house,1,sale,Κολωνάκι (Κολωνάκι - Λυκαβηττός),37.978237,23.744808,95,10,2,1,vip,10234,2026-01-28 01:26:18,2026-01-28 01:26:18,1
18294373,house,6,sale,Παλαιό Ψυχικό (Αθήνα - Βόρεια Προάστια),37.999626,23.769846,910,3,0,0,vip,17102,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18294530,house,1,sale,Νέο Ηράκλειο (Ηράκλειο),38.052635,23.76465,51,6,1,1,vip,5275,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18294718,house,1,sale,Νέο Ηράκλειο (Ηράκλειο),38.052635,23.76465,83,10,2,1,vip,5275,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18295441,house,3,sale,Καστρί - Πολιτεία (Νέα Ερυθραία),38.09013,23.831293,750,3,4,4,vip,5654,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18295447,house,1,sale,Δικηγορικά (Βούλα),37.851467,23.773272,120,7,3,1,vip,270,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18295524,house,1,sale,Δικηγορικά (Βούλα),37.851723,23.774403,120,6,3,1,vip,270,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18296369,house,3,sale,Ekteloniston - Eforiakon (Alimos),37.920124,23.741156,153,11,3,2,vip,3155,2026-01-27 06:30:25,2026-01-27 06:30:25,1
18299239,house,7,sale,Lofos Finopoulou (Athens - Center),37.991291,23.741119,290,7,7,4,vip,4989,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18299531,house,4,sale,Lagonisi (Kalivia Thorikou),37.798344,23.892921,330,3,5,3,vip,4594,2026-01-27 06:30:23,2026-01-27 06:30:23,1
18300123,house,1,sale,Ταμπούρια (Ταμπούρια – Αγία Σοφία),37.958668,23.62994,72,6,2,1,vip,695,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18300454,house,1,sale,Άγιος Γεώργιος (Νέο Ψυχικό),38.004303,23.782686,153,7,4,2,vip,5275,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18301461,house,3,sale,Άνω Γλυφάδα (Γλυφάδα),37.877739,23.757153,135,8,3,3,vip,270,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18303485,house,4,sale,Καστέλλα (Καστέλλα - Πασαλιμάνι),37.937775,23.657341,150,3,2,2,vip,3155,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18303608,house,1,sale,Μετς (Αθήνα - Κέντρο),37.967182,23.737185,165,3,2,2,vip,3155,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18303654,house,1,sale,Marousi (Athens - North),38.051804,23.813976,74,6,2,1,vip,2900,2026-01-27 06:30:22,2026-01-27 06:30:22,1
18303656,house,1,sale,Agios Dimitrios (Paleo Psichiko),38.016266,23.766094,160,6,3,2,vip,3155,2026-01-27 06:30:23,2026-01-27 06:30:23,1
18303713,house,1,sale,Εκτελωνιστών - Εφοριακών (Άλιμος),37.919479,23.741116,106,9,3,1,vip,3155,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18303725,house,1,sale,Κυθηρίων - Πανί (Άλιμος),37.911087,23.723904,110,3,3,1,vip,3155,2026-01-28 01:26:21,2026-01-28 01:26:21,1
18307071,house,1,sale,Κέντρο (Πετρούπολη),38.042629,23.687157,103,6,3,1,vip,24803,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18307086,house,3,sale,Κέντρο (Βριλήσσια),38.037766,23.832844,143,3,2,1,vip,5275,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18307109,house,1,sale,Κέντρο (Βριλήσσια),38.037766,23.832844,124,8,3,1,vip,5275,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18307296,house,1,sale,Vrilissia (Athens - North),38.041924,23.829271,50,7,1,1,vip,6532,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18307519,house,1,sale,Άγιος Γεώργιος (Κερατσίνι),37.962875,23.619469,97,6,2,1,vip,695,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18308364,house,3,sale,Nea Erithraia (Athens - North),38.092979,23.83215,245,3,3,0,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308415,house,4,sale,Dikastika (Marathonas),38.162601,24.064301,632,3,5,0,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308713,house,1,sale,Cholargos (Athens - North),37.99762,23.79422,215,10,4,1,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308719,house,1,sale,Agios Tryfonas (Kamatero),38.050621,23.69619,106,7,2,0,vip,18423,2026-01-27 06:30:25,2026-01-27 06:30:25,1
18308725,house,1,sale,Kastri - Politeia (Nea Erithraia),38.08984,23.821381,220,7,3,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308842,house,1,sale,Center (Vrilissia),38.03233,23.834801,125,8,3,1,vip,7565,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18308843,house,1,sale,Κέντρο (Βριλήσσια),38.03233,23.834801,125,7,3,1,vip,7565,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18308896,house,3,sale,Politeia (Kifisia),38.084332,23.82513,146,7,3,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308903,house,3,sale,Agios Stefanos (Athens - North),38.142872,23.86244,165,3,4,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308928,house,3,sale,Agios Ioannis (Agia Paraskevi),38.003132,23.81477,140,10,4,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308930,house,3,sale,Agios Ioannis (Agia Paraskevi),38.003132,23.81477,120,10,3,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308931,house,3,sale,Ano Cholargos (Cholargos),37.995209,23.79549,174,3,4,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18308954,house,3,sale,Toufa (Chalandri),38.026138,23.826719,141,9,3,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309050,house,4,sale,Orio Kifisias (Melissia),38.064899,23.834641,560,3,5,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309054,house,1,sale,Agios Ioannis (Agia Paraskevi),38.003269,23.817671,120,7,3,1,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309059,house,1,sale,Papagou (Athens - North),37.97974,23.794109,148,6,3,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309108,house,4,sale,Politeia (Kifisia),38.083462,23.826481,360,3,5,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309111,house,3,sale,Kastri - Politeia (Nea Erithraia),38.089279,23.824631,228,8,3,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309123,house,1,sale,Politeia (Kifisia),38.083801,23.8281,118,6,2,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309208,house,1,sale,Polidroso (Chalandri),38.026669,23.806129,119,9,3,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309210,house,1,sale,Όριο Βριλησσίων (Μελίσσια),38.049549,23.83532,113,6,3,2,vip,7565,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18309262,house,3,sale,Όριο Βριλησσίων (Μαρούσι),38.040646,23.821598,218,3,5,2,vip,5275,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18309323,house,1,sale,Melissia (Athens - North),38.059959,23.83382,123,7,3,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309327,house,1,sale,Patima Vrilission (Vrilissia),38.048061,23.84709,98,6,2,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309331,house,3,sale,Melissia (Athens - North),38.059959,23.83382,95,9,2,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309345,house,3,sale,Marousi (Athens - North),38.041359,23.818769,120,3,2,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
